iter	Passed	Remaining
0	67	67065
1	77	38777
2	88	29517
3	100	24904
4	103	20552
5	114	18955
6	124	17638
7	135	16751
8	145	16053
9	155	15376
10	165	14876
11	174	14378
12	184	14023
13	195	13735
14	204	13449
15	214	13220
16	224	13004
17	234	12818
18	244	12645
19	254	12490
20	264	12341
21	274	12201
22	280	11911
23	289	11790
24	299	11675
25	308	11569
26	317	11459
27	327	11360
28	336	11278
29	346	11201
30	356	11134
31	365	11056
32	375	10997
33	384	10924
34	393	10855
35	403	10798
36	412	10747
37	422	10707
38	432	10664
39	442	10612
40	451	10563
41	460	10514
42	470	10476
43	480	10435
44	489	10395
45	499	10361
46	508	10320
47	518	10276
48	527	10240
49	537	10212
50	546	10174
51	556	10150
52	566	10115
53	575	10089
54	585	10056
55	594	10025
56	604	9994
57	613	9970
58	623	9946
59	633	9925
60	642	9895
61	652	9876
62	662	9849
63	672	9831
64	681	9807
65	691	9780
66	700	9759
67	710	9736
68	719	9708
69	729	9685
70	738	9664
71	747	9637
72	757	9615
73	766	9597
74	776	9580
75	786	9563
76	796	9544
77	805	9526
78	815	9506
79	825	9491
80	835	9473
81	844	9452
82	853	9433
83	863	9414
84	872	9394
85	881	9370
86	891	9353
87	901	9341
88	910	9323
89	920	9309
90	930	9294
91	940	9278
92	949	9257
93	959	9249
94	969	9232
95	978	9218
96	988	9203
97	998	9188
98	1007	9172
99	1017	9157
100	1027	9143
101	1036	9126
102	1046	9112
103	1072	9243
104	1082	9229
105	1092	9217
106	1102	9204
107	1112	9191
108	1122	9177
109	1132	9163
110	1141	9145
111	1151	9131
112	1161	9117
113	1171	9105
114	1181	9089
115	1190	9071
116	1199	9055
117	1209	9040
118	1219	9028
119	1228	9012
120	1238	8995
121	1248	8982
122	1257	8964
123	1266	8949
124	1276	8933
125	1285	8917
126	1294	8901
127	1304	8886
128	1314	8872
129	1323	8858
130	1333	8845
131	1342	8831
132	1352	8818
133	1361	8801
134	1371	8788
135	1381	8776
136	1390	8761
137	1400	8747
138	1409	8733
139	1419	8722
140	1429	8708
141	1438	8694
142	1448	8680
143	1458	8668
144	1467	8655
145	1477	8640
146	1486	8628
147	1496	8613
148	1505	8598
149	1515	8585
150	1524	8573
151	1534	8562
152	1544	8551
153	1554	8538
154	1563	8524
155	1573	8512
156	1582	8498
157	1592	8487
158	1602	8476
159	1612	8464
160	1621	8450
161	1631	8437
162	1641	8427
163	1650	8415
164	1660	8404
165	1670	8390
166	1680	8380
167	1689	8365
168	1699	8354
169	1709	8344
170	1719	8334
171	1728	8320
172	1738	8309
173	1747	8296
174	1757	8285
175	1767	8274
176	1776	8262
177	1786	8249
178	1795	8237
179	1805	8224
180	1814	8211
181	1824	8200
182	1834	8188
183	1843	8177
184	1853	8165
185	1863	8154
186	1873	8143
187	1883	8133
188	1892	8120
189	1901	8108
190	1911	8097
191	1921	8085
192	1931	8074
193	1940	8062
194	1950	8051
195	1959	8039
196	1969	8027
197	1979	8018
198	1989	8006
199	1998	7994
200	2008	7982
201	2017	7970
202	2027	7958
203	2036	7945
204	2045	7933
205	2055	7923
206	2065	7913
207	2075	7903
208	2085	7891
209	2094	7878
210	2103	7867
211	2113	7856
212	2123	7844
213	2132	7833
214	2142	7823
215	2152	7811
216	2161	7800
217	2171	7789
218	2180	7777
219	2190	7768
220	2200	7755
221	2209	7744
222	2219	7734
223	2229	7723
224	2238	7710
225	2248	7699
226	2257	7688
227	2267	7677
228	2276	7664
229	2286	7653
230	2295	7641
231	2304	7629
232	2314	7617
233	2323	7606
234	2333	7594
235	2343	7585
236	2352	7574
237	2362	7563
238	2371	7552
239	2381	7540
240	2390	7529
241	2400	7519
242	2410	7508
243	2419	7496
244	2429	7486
245	2439	7476
246	2448	7464
247	2458	7453
248	2468	7444
249	2477	7432
250	2487	7421
251	2496	7411
252	2506	7399
253	2515	7389
254	2525	7378
255	2534	7366
256	2544	7355
257	2553	7344
258	2563	7333
259	2572	7321
260	2581	7310
261	2591	7299
262	2600	7288
263	2610	7276
264	2619	7264
265	2628	7253
266	2638	7242
267	2664	7276
268	2673	7265
269	2682	7253
270	2692	7242
271	2701	7231
272	2711	7220
273	2720	7209
274	2730	7199
275	2740	7189
276	2750	7179
277	2760	7169
278	2770	7158
279	2779	7147
280	2789	7138
281	2799	7127
282	2808	7116
283	2818	7105
284	2828	7095
285	2838	7085
286	2848	7075
287	2857	7064
288	2867	7053
289	2876	7042
290	2886	7032
291	2895	7021
292	2905	7011
293	2915	7000
294	2924	6989
295	2933	6978
296	2943	6966
297	2952	6955
298	2962	6945
299	2972	6935
300	2981	6924
301	2991	6913
302	3000	6902
303	3010	6892
304	3019	6881
305	3029	6869
306	3038	6859
307	3048	6849
308	3058	6839
309	3068	6829
310	3078	6819
311	3087	6809
312	3097	6797
313	3106	6787
314	3115	6776
315	3125	6765
316	3135	6755
317	3144	6744
318	3154	6733
319	3163	6723
320	3173	6712
321	3182	6701
322	3192	6691
323	3201	6680
324	3210	6668
325	3220	6657
326	3229	6647
327	3239	6636
328	3248	6625
329	3258	6615
330	3268	6605
331	3277	6594
332	3286	6583
333	3296	6573
334	3305	6562
335	3315	6552
336	3324	6540
337	3334	6530
338	3344	6520
339	3354	6510
340	3363	6501
341	3373	6490
342	3383	6480
343	3392	6469
344	3402	6459
345	3411	6448
346	3421	6438
347	3431	6428
348	3440	6418
349	3450	6408
350	3460	6398
351	3469	6387
352	3479	6378
353	3489	6367
354	3498	6356
355	3508	6346
356	3517	6336
