iter	Passed	Remaining
0	1	1130
1	1	723
2	1	575
3	2	515
4	2	474
5	2	433
6	2	409
7	3	397
8	3	381
9	3	373
10	4	366
11	4	355
12	4	347
13	4	340
14	5	333
15	5	331
16	5	332
17	6	335
18	6	337
19	6	339
20	7	335
21	7	332
22	7	328
23	7	324
24	8	322
25	8	322
26	8	322
27	9	322
28	9	323
29	10	326
30	10	324
31	10	322
32	10	319
33	11	319
34	11	318
35	11	316
36	12	316
37	12	314
38	12	314
39	13	313
40	13	311
41	13	309
42	13	310
43	14	308
44	14	306
45	14	305
46	15	305
47	15	305
48	15	305
49	15	303
50	16	301
51	16	300
52	16	299
53	17	298
54	17	297
55	17	297
56	17	295
57	18	294
58	18	293
59	18	293
60	19	292
61	19	291
62	19	291
63	19	291
64	20	291
65	20	291
66	20	291
67	21	292
68	21	292
69	21	291
70	22	290
71	22	290
72	22	290
73	23	290
74	23	290
75	23	291
76	24	290
77	24	288
78	24	287
79	24	286
80	25	285
81	25	284
82	25	281
83	25	280
84	26	280
85	26	280
86	26	279
87	26	277
88	27	276
89	27	275
90	27	275
91	27	274
92	28	273
93	28	272
94	28	273
95	28	272
96	29	271
97	29	271
98	29	270
99	29	269
100	30	269
101	30	268
102	30	267
103	31	267
104	31	266
105	31	265
106	31	266
107	32	266
108	32	265
109	32	265
110	33	265
111	33	264
112	33	265
113	34	265
114	34	265
115	34	264
116	35	264
117	35	264
118	35	264
119	35	263
120	36	262
121	36	261
122	36	260
123	36	260
124	37	260
125	37	259
126	37	258
127	37	258
128	38	257
129	38	256
130	38	256
131	38	255
132	39	255
133	39	254
134	39	254
135	39	253
136	40	252
137	40	252
138	40	252
139	40	251
140	41	250
141	41	249
142	41	249
143	41	248
144	42	248
145	42	248
146	42	247
147	42	246
148	43	246
149	43	246
150	43	245
151	44	245
152	44	245
153	44	244
154	44	244
155	45	244
156	45	243
157	45	243
158	45	243
159	46	243
160	46	242
161	46	242
162	47	242
163	47	242
164	47	242
165	48	241
166	48	241
167	48	240
168	48	240
169	49	239
170	49	239
171	49	239
172	50	240
173	50	240
174	50	239
175	51	239
176	51	239
177	51	239
178	52	238
179	52	238
180	52	238
181	52	237
182	53	237
183	53	237
184	53	237
185	54	236
186	54	236
187	54	236
188	55	236
189	55	236
190	55	235
191	56	235
192	56	235
193	56	235
194	56	234
195	57	234
196	57	234
197	57	234
198	58	233
199	58	233
200	58	232
201	58	232
202	59	232
203	59	231
204	59	231
205	60	231
206	60	231
207	60	230
208	60	230
209	61	230
210	61	229
211	61	229
212	62	229
213	62	229
214	62	229
215	63	229
216	63	229
217	63	229
218	64	228
219	64	228
220	64	228
221	65	228
222	65	228
223	65	227
224	65	227
225	66	226
226	66	226
227	66	226
228	67	225
229	67	225
230	67	224
231	67	224
232	67	223
233	68	223
234	68	222
235	68	222
236	68	221
237	69	221
238	69	220
239	69	220
240	69	220
241	70	219
242	70	219
243	70	218
244	70	218
245	71	218
246	71	217
247	71	217
248	72	217
249	72	216
250	72	216
251	72	215
252	72	215
253	73	214
254	73	214
255	73	213
256	73	213
257	74	213
258	74	212
259	74	212
260	74	211
261	75	211
262	75	210
263	75	210
264	75	210
265	75	209
266	76	209
267	76	208
268	76	208
269	76	207
270	77	207
271	77	207
272	77	207
273	78	207
274	78	206
275	78	206
276	79	206
277	79	206
278	79	206
279	80	205
280	80	205
281	80	205
282	80	205
283	81	204
284	81	204
285	81	203
286	81	203
287	82	203
288	82	203
289	82	202
290	83	202
291	83	202
292	83	201
293	83	201
294	84	201
295	84	200
296	84	200
297	84	200
298	85	199
299	85	199
300	85	199
301	86	199
302	86	199
303	86	198
304	87	198
305	87	198
306	87	198
307	88	198
308	88	197
309	88	197
310	89	197
311	89	196
312	89	196
313	90	196
314	90	196
315	90	196
316	90	195
317	91	195
318	91	195
319	91	194
320	92	194
321	92	194
322	92	194
323	92	193
324	93	193
325	93	193
326	93	193
327	94	193
328	94	192
329	94	192
330	94	191
331	95	191
332	95	191
333	95	190
334	96	190
335	96	190
336	96	189
337	96	189
338	97	189
339	97	188
340	97	188
341	97	188
342	97	187
343	98	187
344	98	186
345	98	186
346	98	186
347	99	185
348	99	185
349	99	185
350	100	184
351	100	184
352	100	184
353	100	183
354	100	183
355	101	182
356	101	182
357	101	182
358	101	181
359	102	181
360	102	181
361	102	180
362	102	180
363	103	180
364	103	179
365	103	179
366	104	179
367	104	179
368	104	179
369	105	178
370	105	178
371	105	178
372	105	177
373	106	177
374	106	177
375	106	177
376	107	177
377	107	176
378	107	176
379	108	176
380	108	176
381	108	175
382	109	175
383	109	175
384	109	174
385	109	174
386	109	174
387	110	173
388	110	173
389	110	173
390	111	173
391	111	172
392	111	172
393	112	172
394	112	172
395	112	171
396	112	171
397	113	171
398	113	171
399	113	170
400	114	170
401	114	170
402	114	170
403	115	169
404	115	169
405	115	169
406	115	168
407	116	168
408	116	168
409	116	167
410	116	167
411	117	167
412	117	166
413	117	166
414	117	166
415	118	165
416	118	165
417	118	165
418	118	164
419	119	164
420	119	164
421	119	163
422	119	163
423	120	163
424	120	162
425	120	162
426	120	162
427	121	161
428	121	161
429	121	161
430	121	160
431	122	160
432	122	160
433	122	160
434	123	159
435	123	159
436	123	159
437	123	159
438	124	158
439	124	158
440	124	158
441	124	157
442	125	157
443	125	157
444	125	156
445	125	156
446	126	156
447	126	155
448	126	155
449	126	155
450	127	154
451	127	154
452	127	154
453	127	153
454	128	153
455	128	153
456	128	152
457	128	152
458	129	152
459	129	152
460	129	151
461	130	151
462	130	151
463	130	150
464	130	150
465	131	150
466	131	149
467	131	149
468	131	149
469	132	148
470	132	148
471	132	148
472	133	148
473	134	148
474	134	148
475	134	148
476	135	148
477	135	147
478	135	147
479	136	147
480	136	147
481	136	147
482	137	146
483	137	146
484	137	146
485	137	145
486	138	145
487	138	145
488	139	145
489	139	145
490	139	144
491	140	144
492	140	144
493	140	144
494	141	144
495	141	143
496	142	143
497	142	143
498	142	143
499	142	142
500	143	142
501	143	142
502	144	142
503	144	142
504	144	142
505	145	141
506	145	141
507	145	141
508	146	141
509	146	141
510	147	141
511	147	140
512	147	140
513	148	140
514	148	140
515	149	139
516	149	139
517	149	139
518	150	139
519	150	138
520	150	138
521	151	138
522	151	138
523	152	138
524	152	138
525	153	138
526	153	137
527	154	138
528	155	138
529	155	137
530	155	137
531	156	137
532	157	138
533	157	137
534	158	137
535	158	137
536	159	137
537	159	137
538	159	136
539	160	136
540	160	136
541	161	136
542	161	135
543	161	135
544	161	135
